dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,data_path,metadata_path
daily:600231:raw,equity_daily,600231,A,raw,,failed,NOT_RUN,0,,,2000-05-11,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
daily:600231:qfq,equity_daily,600231,A,qfq,,failed,NOT_RUN,0,,,2000-05-11,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
daily:600231:hfq,equity_daily,600231,A,hfq,,failed,NOT_RUN,0,,,2000-05-11,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
daily:300274:raw,equity_daily,300274,A,raw,,failed,NOT_RUN,0,,,2011-11-02,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
daily:300274:qfq,equity_daily,300274,A,qfq,,failed,NOT_RUN,0,,,2011-11-02,history_unavailable,connection_error,"HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3",,
daily:300274:hfq,equity_daily,300274,A,hfq,,success,PASS,3570,2011-11-02,2026-08-24,2011-11-02,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=300274/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=300274/adjust=hfq/metadata.json
daily:601636:raw,equity_daily,601636,A,raw,,success,PASS,3637,2011-08-12,2026-08-24,2011-08-12,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=601636/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=601636/adjust=raw/metadata.json
daily:601636:qfq,equity_daily,601636,A,qfq,,success,PASS,3637,2011-08-12,2026-08-24,2011-08-12,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=601636/adjust=qfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=601636/adjust=qfq/metadata.json
daily:601636:hfq,equity_daily,601636,A,hfq,,success,PASS,3637,2011-08-12,2026-08-24,2011-08-12,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=601636/adjust=hfq/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=601636/adjust=hfq/metadata.json
daily:002129:raw,equity_daily,002129,A,raw,,success,PASS,4155,2007-04-20,2026-08-24,2007-04-20,complete_to_verified_listing_date,,,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=002129/adjust=raw/data.parquet,data/raw/stage17/equity_daily/run_id=3f2b6d7a-47f1-4f80-b317-172026082424/market=A/symbol=002129/adjust=raw/metadata.json
