dataset_id,kind,symbol,market,adjust,interval,status,quality_status,row_count,min_value,max_value,listing_date,coverage_status,error_type,error_message,source,interface,attempt_count,selected_source,selection_reason,trigger_reason,blocker_category,selected_provider,selected_interface,provider_attempts,quality_result,coverage_result,requested_response_keys,used_response_keys,response_field_fallback,qfq_hfq_identical,data_path,metadata_path
daily:601012:hfq,equity_daily,601012,A,hfq,,success,PASS,3452,2012-04-11,2026-08-24,2012-04-11,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601012/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601012/adjust=hfq/source=sina/metadata.json
daily:600438:raw,equity_daily,600438,A,raw,,success,PASS,5252,2004-03-02,2026-08-24,2004-03-02,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600438/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600438/adjust=raw/source=sina/metadata.json
daily:600438:qfq,equity_daily,600438,A,qfq,,success,PASS,5252,2004-03-02,2026-08-24,2004-03-02,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600438/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600438/adjust=qfq/source=sina/metadata.json
daily:600438:hfq,equity_daily,600438,A,hfq,,success,PASS,5252,2004-03-02,2026-08-24,2004-03-02,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600438/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=600438/adjust=hfq/source=sina/metadata.json
daily:002361:raw,equity_daily,002361,A,raw,,success,PASS,3900,2010-03-03,2026-08-24,2010-03-03,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002361/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002361/adjust=raw/source=sina/metadata.json
daily:002361:qfq,equity_daily,002361,A,qfq,,success,PASS,3900,2010-03-03,2026-08-24,2010-03-03,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002361/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002361/adjust=qfq/source=sina/metadata.json
daily:002361:hfq,equity_daily,002361,A,hfq,,success,PASS,3900,2010-03-03,2026-08-24,2010-03-03,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002361/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=002361/adjust=hfq/source=sina/metadata.json
daily:601500:raw,equity_daily,601500,A,raw,,success,PASS,2404,2016-09-19,2026-08-24,2016-09-19,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601500/adjust=raw/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601500/adjust=raw/source=sina/metadata.json
daily:601500:qfq,equity_daily,601500,A,qfq,,success,PASS,2404,2016-09-19,2026-08-24,2016-09-19,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601500/adjust=qfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601500/adjust=qfq/source=sina/metadata.json
daily:601500:hfq,equity_daily,601500,A,hfq,,success,PASS,2404,2016-09-19,2026-08-24,2016-09-19,complete_to_verified_listing_date,,,sina,stock_zh_a_daily,1,sina,primary_connection_error;fallback_passed_strict_checks,connection_error,,,,,,,,,,,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601500/adjust=hfq/source=sina/data.parquet,data/raw/stage17/equity_daily/run_id=4a5599fb-9e60-4013-9c0c-69fcc25a98b2/market=A/symbol=601500/adjust=hfq/source=sina/metadata.json
