input_layer,run_id,path,expected_size,actual_size,expected_sha256,actual_sha256,exists,readable,hash_match,status
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601012/data.parquet,254988,254988,a885f394331f07ae46110a55ebfa4d1427e2ee8594bd02c2d35b42364dd2a14e,a885f394331f07ae46110a55ebfa4d1427e2ee8594bd02c2d35b42364dd2a14e,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601500/data.parquet,223591,223591,cf88774607e424ef8a8abc7ecabc99e46b4fd6a861198275a2b02c86fb684ed2,cf88774607e424ef8a8abc7ecabc99e46b4fd6a861198275a2b02c86fb684ed2,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601636/data.parquet,245171,245171,3bed8e37e0221f88bf90329bcbd365ba480843bd568a6f15b49d69757506fed6,3bed8e37e0221f88bf90329bcbd365ba480843bd568a6f15b49d69757506fed6,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=603259/data.parquet,226833,226833,08481181d47b1759911593d221827b7a2d7fe8c08c8ef8251b8b88137ab05af1,08481181d47b1759911593d221827b7a2d7fe8c08c8ef8251b8b88137ab05af1,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=603799/data.parquet,250076,250076,31712bb3d67acdff35b3fad1fe8017ff5f3bd7a9722d0d509d2dd08fb7174145,31712bb3d67acdff35b3fad1fe8017ff5f3bd7a9722d0d509d2dd08fb7174145,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,239804,239804,4d73f2352e79e9b8d7ecc023b379727e8216edb48ddcfd48b2d80b978a779f67,4d73f2352e79e9b8d7ecc023b379727e8216edb48ddcfd48b2d80b978a779f67,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,215886,215886,1541ef5575d94be88d613e24f794fd570a16d7fa680e759a4301bb9dc4206d57,1541ef5575d94be88d613e24f794fd570a16d7fa680e759a4301bb9dc4206d57,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,218471,218471,37b97920906e7367ffa9054414f2d41b0aa65f8ceae16032b3fef8f5d12a4f9a,37b97920906e7367ffa9054414f2d41b0aa65f8ceae16032b3fef8f5d12a4f9a,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,213354,213354,50cebd875069ab9c833eec918e6722d4ef49179ecdaaad21887efd7875c77718,50cebd875069ab9c833eec918e6722d4ef49179ecdaaad21887efd7875c77718,True,True,True,PASS
stage4_raw,62bbe9df-6ed8-48d5-a06b-10fb90171ee0,data/raw/stock_cash_flow_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002361/data.parquet,203546,203546,ce10819fa4aeb460164d301e3a47de78f36a65f2adc4eee9709678bb3a9f5c38,ce10819fa4aeb460164d301e3a47de78f36a65f2adc4eee9709678bb3a9f5c38,True,True,True,PASS
