stage,manifest,kind,path,expected_size,actual_size,expected_sha256,actual_sha256,size_match,sha256_match,status
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_spot_em/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/snapshot_date=2026-07-29/full_market.parquet,598226,598226,e128d6dc88e0ce8f9cddcdeb602358f600f2595662ab770b3c0d104b7d815185,e128d6dc88e0ce8f9cddcdeb602358f600f2595662ab770b3c0d104b7d815185,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,raw,data/raw/stock_zh_a_spot_em/run_id=39a6996e-36d7-4b73-b0b8-c38da4ae672e/snapshot_date=2026-07-29/target_16.parquet,17291,17291,13ac134db3c6b18b3b65e32ce2c30a869df572417600402a6c728e48d7e0eca1,13ac134db3c6b18b3b65e32ce2c30a869df572417600402a6c728e48d7e0eca1,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,report,reports/stage3_market_coverage.csv,14336,14336,251822fb1ddf50e807d50a4de0762b292ae956ba2cc0e41bd610dabcdb551a19,251822fb1ddf50e807d50a4de0762b292ae956ba2cc0e41bd610dabcdb551a19,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,report,reports/stage3_market_run.json,101834,101834,c5c4c9854b04744577afe4ad9419f6353f64adf72ed29c87f25f8f9a791f7b6a,c5c4c9854b04744577afe4ad9419f6353f64adf72ed29c87f25f8f9a791f7b6a,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,report,reports/stage3_spot_field_availability.csv,983,983,caabf352984f64e086e08d315279d034a1204a395d35efabd291124e60685468,caabf352984f64e086e08d315279d034a1204a395d35efabd291124e60685468,True,True,PASS
3,reports/evidence/stage3/39a6996e-36d7-4b73-b0b8-c38da4ae672e/manifest.json,report,docs/stage3_market_fetch.md,930,930,25c303251c7fd677857d0e1890caefd6840764e67749902c2ad05753fda49e01,25c303251c7fd677857d0e1890caefd6840764e67749902c2ad05753fda49e01,True,True,PASS
4,reports/evidence/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/manifest.json,raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=000100/data.parquet,293957,293957,f161f12f99090996cde81bce019406a6e3d697fc2a69488a3b6e0a81e57a40b0,f161f12f99090996cde81bce019406a6e3d697fc2a69488a3b6e0a81e57a40b0,True,True,PASS
4,reports/evidence/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/manifest.json,raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,256447,256447,ffde58844351b337d436d69924c253035975ffad2c2ebb4ed2f63398e2546fda,ffde58844351b337d436d69924c253035975ffad2c2ebb4ed2f63398e2546fda,True,True,PASS
4,reports/evidence/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/manifest.json,raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002129/data.parquet,266040,266040,bd06972c56b0ef3922e7e015064499da44f6c98cce1c08856f3d06918f7b28c8,bd06972c56b0ef3922e7e015064499da44f6c98cce1c08856f3d06918f7b28c8,True,True,PASS
4,reports/evidence/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/manifest.json,raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002230/data.parquet,258225,258225,d1973337c76bf21b8836b7910c805faee017fb0dc1a71b50b033522a7b449d8b,d1973337c76bf21b8836b7910c805faee017fb0dc1a71b50b033522a7b449d8b,True,True,PASS
4,reports/evidence/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/manifest.json,raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002361/data.parquet,241268,241268,8b1e6d5e98d63aa8c60e8f798d7815ece63cd7a8a2d15fbedd2a4915bd67aec4,8b1e6d5e98d63aa8c60e8f798d7815ece63cd7a8a2d15fbedd2a4915bd67aec4,True,True,PASS
4,reports/evidence/stage4/62bbe9df-6ed8-48d5-a06b-10fb90171ee0/manifest.json,raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002600/data.parquet,249826,249826,0fdd787d381a681a4f5fc0027429622fabec366fb712517f0c46fd46bcae43e7,0fdd787d381a681a4f5fc0027429622fabec366fb712517f0c46fd46bcae43e7,True,True,PASS
