run_id,symbol,interface_id,report_period,announcement_date,as_of_date,potential_lookahead,announcement_date_status,raw_path,notes
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2018-06-30,2018-08-27,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2018-03-31,2018-04-28,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2017-12-31,2018-04-26,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2017-09-30,2017-10-27,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2017-06-30,2017-08-26,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2017-03-31,2017-04-26,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2016-12-31,2017-04-26,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2016-09-30,2016-10-29,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2016-06-30,2016-08-25,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2016-03-31,2016-04-30,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
62bbe9df-6ed8-48d5-a06b-10fb90171ee0,002067,balance_sheet_report,2015-12-31,2016-03-31,2026-07-27,False,available,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002067/data.parquet,
