artifact_group,path,expected_sha256,actual_sha256,size,hash_match,status
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002361/data.parquet,8b1e6d5e98d63aa8c60e8f798d7815ece63cd7a8a2d15fbedd2a4915bd67aec4,8b1e6d5e98d63aa8c60e8f798d7815ece63cd7a8a2d15fbedd2a4915bd67aec4,241268,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=002600/data.parquet,0fdd787d381a681a4f5fc0027429622fabec366fb712517f0c46fd46bcae43e7,0fdd787d381a681a4f5fc0027429622fabec366fb712517f0c46fd46bcae43e7,249826,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300274/data.parquet,3e387cda9d34608bbc999cccd4b6f68ff59677b3e54e98a1fd3feffbc6a5cb85,3e387cda9d34608bbc999cccd4b6f68ff59677b3e54e98a1fd3feffbc6a5cb85,244530,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=300433/data.parquet,103becde25a39a1c73785ddf5bb7e95b724852633b0bee6e9bddc4851745cda9,103becde25a39a1c73785ddf5bb7e95b724852633b0bee6e9bddc4851745cda9,236350,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=600231/data.parquet,3dff36290fb9aa85365534f175ff9ecbfd0901430cbbe2c57c22d1b0a1afed88,3dff36290fb9aa85365534f175ff9ecbfd0901430cbbe2c57c22d1b0a1afed88,273743,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=600438/data.parquet,585df03d616e146ab04df7dd59e9929557b7c5117f4af681c844fed4cb98902a,585df03d616e146ab04df7dd59e9929557b7c5117f4af681c844fed4cb98902a,278626,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=600763/data.parquet,b80a7c775278ecfd5787c7c5848d303004716b6dd31f4a432eb8c5a84c48b81a,b80a7c775278ecfd5787c7c5848d303004716b6dd31f4a432eb8c5a84c48b81a,260921,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601012/data.parquet,a885f394331f07ae46110a55ebfa4d1427e2ee8594bd02c2d35b42364dd2a14e,a885f394331f07ae46110a55ebfa4d1427e2ee8594bd02c2d35b42364dd2a14e,254988,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601500/data.parquet,cf88774607e424ef8a8abc7ecabc99e46b4fd6a861198275a2b02c86fb684ed2,cf88774607e424ef8a8abc7ecabc99e46b4fd6a861198275a2b02c86fb684ed2,223591,True,PASS
stage4_raw,data/raw/stock_balance_sheet_by_report_em/run_id=62bbe9df-6ed8-48d5-a06b-10fb90171ee0/symbol=601636/data.parquet,3bed8e37e0221f88bf90329bcbd365ba480843bd568a6f15b49d69757506fed6,3bed8e37e0221f88bf90329bcbd365ba480843bd568a6f15b49d69757506fed6,245171,True,PASS
