symbol,market,feature_name,feature_status,unavailable_reason,lineage_present,quality_status
601636,A,debt_to_asset,PASS,,True,PASS
601636,A,net_margin,PASS,,True,PASS
601636,A,net_profit,PASS,,True,PASS
601636,A,net_profit_yoy,PASS,,True,PASS
601636,A,ocf_to_net_profit,PASS,,True,PASS
601636,A,operating_cash_flow,PASS,,True,PASS
601636,A,revenue,PASS,,True,PASS
601636,A,revenue_yoy,PASS,,True,PASS
601636,A,roa,PASS,,True,PASS
601636,A,roe,PASS,,True,PASS
601636,A,total_assets,PASS,,True,PASS
601636,A,total_equity,PASS,,True,PASS
603259,A,debt_to_asset,PASS,,True,PASS
603259,A,net_margin,PASS,,True,PASS
603259,A,net_profit,PASS,,True,PASS
603259,A,net_profit_yoy,PASS,,True,PASS
603259,A,ocf_to_net_profit,PASS,,True,PASS
603259,A,operating_cash_flow,PASS,,True,PASS
603259,A,revenue,PASS,,True,PASS
603259,A,revenue_yoy,PASS,,True,PASS
603259,A,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,True,PASS
603259,A,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,True,PASS
603259,A,total_assets,PASS,,True,PASS
603259,A,total_equity,PASS,,True,PASS
603799,A,debt_to_asset,PASS,,True,PASS
603799,A,net_margin,PASS,,True,PASS
603799,A,net_profit,PASS,,True,PASS
603799,A,net_profit_yoy,PASS,,True,PASS
603799,A,ocf_to_net_profit,PASS,,True,PASS
603799,A,operating_cash_flow,PASS,,True,PASS
603799,A,revenue,PASS,,True,PASS
603799,A,revenue_yoy,PASS,,True,PASS
603799,A,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,True,PASS
603799,A,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,True,PASS
603799,A,total_assets,PASS,,True,PASS
603799,A,total_equity,PASS,,True,PASS
02076.HK,HK,debt_to_asset,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
02076.HK,HK,net_margin,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
02076.HK,HK,net_profit,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02076.HK,HK,net_profit_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02076.HK,HK,ocf_to_net_profit,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
02076.HK,HK,operating_cash_flow,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02076.HK,HK,revenue,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02076.HK,HK,revenue_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02076.HK,HK,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
02076.HK,HK,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
02076.HK,HK,total_assets,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02076.HK,HK,total_equity,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02180.HK,HK,debt_to_asset,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
02180.HK,HK,net_margin,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
02180.HK,HK,net_profit,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02180.HK,HK,net_profit_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02180.HK,HK,ocf_to_net_profit,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
02180.HK,HK,operating_cash_flow,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02180.HK,HK,revenue,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02180.HK,HK,revenue_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02180.HK,HK,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
02180.HK,HK,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
02180.HK,HK,total_assets,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
02180.HK,HK,total_equity,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06100.HK,HK,debt_to_asset,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
06100.HK,HK,net_margin,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
06100.HK,HK,net_profit,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06100.HK,HK,net_profit_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06100.HK,HK,ocf_to_net_profit,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
06100.HK,HK,operating_cash_flow,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06100.HK,HK,revenue,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06100.HK,HK,revenue_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06100.HK,HK,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
06100.HK,HK,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
06100.HK,HK,total_assets,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06100.HK,HK,total_equity,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06919.HK,HK,debt_to_asset,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
06919.HK,HK,net_margin,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
06919.HK,HK,net_profit,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06919.HK,HK,net_profit_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06919.HK,HK,ocf_to_net_profit,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
06919.HK,HK,operating_cash_flow,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06919.HK,HK,revenue,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06919.HK,HK,revenue_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06919.HK,HK,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
06919.HK,HK,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
06919.HK,HK,total_assets,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
06919.HK,HK,total_equity,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08365.HK,HK,debt_to_asset,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
08365.HK,HK,net_margin,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
08365.HK,HK,net_profit,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08365.HK,HK,net_profit_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08365.HK,HK,ocf_to_net_profit,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
08365.HK,HK,operating_cash_flow,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08365.HK,HK,revenue,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08365.HK,HK,revenue_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08365.HK,HK,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
08365.HK,HK,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
08365.HK,HK,total_assets,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08365.HK,HK,total_equity,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08462.HK,HK,debt_to_asset,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
08462.HK,HK,net_margin,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
08462.HK,HK,net_profit,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08462.HK,HK,net_profit_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08462.HK,HK,ocf_to_net_profit,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
08462.HK,HK,operating_cash_flow,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08462.HK,HK,revenue,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08462.HK,HK,revenue_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08462.HK,HK,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
08462.HK,HK,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
08462.HK,HK,total_assets,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
08462.HK,HK,total_equity,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
09669.HK,HK,debt_to_asset,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
09669.HK,HK,net_margin,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
09669.HK,HK,net_profit,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
09669.HK,HK,net_profit_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
09669.HK,HK,ocf_to_net_profit,UNAVAILABLE,NO_COMMON_PIT_REPORT_PERIOD,False,PASS
09669.HK,HK,operating_cash_flow,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
09669.HK,HK,revenue,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
09669.HK,HK,revenue_yoy,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
09669.HK,HK,roa,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
09669.HK,HK,roe,UNAVAILABLE,ANNUAL_OR_PRIOR_BALANCE_UNAVAILABLE,False,PASS
09669.HK,HK,total_assets,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
09669.HK,HK,total_equity,UNAVAILABLE,NO_PIT_ELIGIBLE_INPUT,False,PASS
__RUN__,ALL,feature_definition_count,PASS,,True,PASS
__RUN__,ALL,feature_unit_count,PASS,,True,PASS
__RUN__,ALL,security_coverage,PASS,,True,PASS
__RUN__,ALL,feature_coverage,PASS,,True,PASS
__RUN__,ALL,terminal_status_only,PASS,,True,PASS
__RUN__,ALL,computed_feature_exists,PASS,,True,PASS
__RUN__,ALL,pit_validation,PASS,,True,PASS
__RUN__,ALL,period_matching,PASS,,True,PASS
__RUN__,ALL,feature_quality,PASS,,True,PASS
