symbol,exchange,query_type,keyword,query_url,request_body,start_date,end_date,result_count,pages,retrieved_at,file
601500,SH,keyword_delisting,退市,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601500""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601500/*delisting*
601500,SH,all_announcements,,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601500""]}",2025-07-25,2026-07-27,75,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601500/*all*
601500,SH,keyword_riskwarning,风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601500""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601500/*riskwarning*
601636,SH,keyword_namechange,证券简称变更,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601636""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601636/*namechange*
601636,SH,keyword_cancel_riskwarning,撤销风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601636""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601636/*cancel_riskwarning*
601636,SH,keyword_delisting,退市,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601636""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601636/*delisting*
601636,SH,all_announcements,,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601636""]}",2025-07-25,2026-07-27,149,2,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601636/*all*
601636,SH,keyword_riskwarning,风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""601636""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/601636/*riskwarning*
603259,SH,keyword_namechange,证券简称变更,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603259""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603259/*namechange*
603259,SH,keyword_cancel_riskwarning,撤销风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603259""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603259/*cancel_riskwarning*
603259,SH,keyword_delisting,退市,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603259""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603259/*delisting*
603259,SH,all_announcements,,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603259""]}",2025-07-25,2026-07-27,134,2,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603259/*all*
603259,SH,keyword_riskwarning,风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603259""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603259/*riskwarning*
603799,SH,keyword_namechange,证券简称变更,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603799""], ""keyword"": ""证券简称变更""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603799/*namechange*
603799,SH,keyword_cancel_riskwarning,撤销风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603799""], ""keyword"": ""撤销风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603799/*cancel_riskwarning*
603799,SH,keyword_delisting,退市,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603799""], ""keyword"": ""退市""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603799/*delisting*
603799,SH,all_announcements,,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603799""]}",2025-07-25,2026-07-27,132,2,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603799/*all*
603799,SH,keyword_riskwarning,风险警示,https://query.sse.com.cn/security/stock/queryCompanyBulletinNew.do,"{""seDate"": [""2025-07-25"", ""2026-07-27""], ""stock"": [""603799""], ""keyword"": ""风险警示""}",2025-07-25,2026-07-27,0,1,2026-08-06T14:35:53+08:00,data/manual/stage8/security_status/sources/SH/603799/*riskwarning*
